ra,dec,pmra,pmdec,parallax,radial_velocity
140.94129611729912,-61.18179945533134,-14.329611901625315,18.751137080873747,6.50296504062694,
143.24812292854406,-59.925235660139,-29.869095583133326,22.308072883571825,6.318209714164273,14.46021
140.332903857852,-51.09590200001321,-17.4141550162991,13.539563974596804,5.809432870103018,47.281055
136.1904075729381,-53.87650408976121,-27.41217044807327,20.75563468214607,6.609813636597421,23.474709
139.5291722713355,-51.05344889532391,-20.750680773190574,16.77502979129479,6.910266274488966,
139.52431776310357,-51.050788168274714,-20.59960968031019,15.405443493568137,6.529860467482284,
142.29087653088536,-53.35838057356824,-22.399887801874073,19.02768671861895,6.654847173510217,
137.98241735806366,-54.23901467393963,-20.77175314715349,17.870683029913437,6.474436302982599,
135.36814653692437,-54.450501409659346,-13.051194791875307,20.851857916735174,5.9287705125253085,
137.0623972376702,-54.13346168554432,-27.90596103577995,24.825326505751995,6.514619918433863,
136.66341734752024,-53.703713321200574,-27.217386405670595,27.459369809878087,5.761292125047864,59.96372
135.4104506402255,-54.49777457110107,-31.15871304608299,24.81127156484687,5.8741701815460825,57.09889
141.95114642707645,-54.46840986837993,-19.225158407811367,21.686583598678215,5.818641295922519,
136.66260333536897,-53.50372288942759,-16.62313556750339,28.102969898985634,5.600954343359293,
138.55110433319192,-52.94639004315199,-18.31292484866685,13.914137119327322,5.619072326854391,
137.70462643012712,-53.49489496554751,-27.360569270219216,14.159414125763035,5.598403517790858,
141.60932440911589,-54.13753204710493,-18.740624575180654,21.76990155308182,5.672651799262145,5.7917213
142.59524678604424,-52.950115160286835,-18.944473027914864,29.371872840750576,6.6946524303048545,
137.81501058946859,-53.64186757851302,-17.503040367228834,13.458977058521981,7.575194261603986,15.666699
137.93466652602967,-53.30468315585713,-30.264855024228233,18.780892493918913,6.482201936808422,
140.92098615942155,-52.426816885355535,-17.8419984676867,31.229983482883355,6.13378137155331,
143.53587036169637,-52.77405061950164,-20.168306594789982,13.969360548894702,7.19865479666153,2.5626884
140.67918629038365,-51.70905452881225,-24.78079690078596,14.020313785775116,5.976239483473741,
140.72372036815614,-51.7457771909417,-28.81216402061323,16.050754270158595,6.413845095542023,
140.60485464495497,-52.455515550012535,-29.59803226327879,14.593079068946148,6.749625262802804,11.547264
138.0507130063791,-52.42788543034533,-16.86834083318743,17.28222807409447,6.039768894917737,18.462843
143.2514877601736,-53.33662406373881,-16.828338926155816,17.010510207006536,5.969408617076077,
140.99659922671125,-53.253300675922105,-14.252961131768055,14.758035791017143,5.818300940990905,
140.4300771261047,-52.30502163075429,-15.395219319318329,16.162897331363848,6.222953682223662,
140.455558323633,-52.98395233501132,-30.179693828987077,14.998486698960948,5.75747274926154,-4.338736
139.99678823440487,-52.072922956694676,-13.132017553114835,19.956517822701887,6.233990185919802,
143.5584321510303,-54.60388774724668,-20.534936511138305,14.877342357173774,5.935261276868369,
139.2950392875094,-53.571007088563206,-30.258018481043212,20.503029178107486,5.929190109976201,
139.51001060600993,-53.174774098031406,-25.173706579296653,30.08208760383428,6.372683080161059,
136.26929523044103,-54.0586279248139,-25.312449905975782,18.16963494272169,5.598614837674751,
133.685624262991,-54.91388476303336,-26.646963852629092,22.335425090310377,6.5812812416084014,
133.68746050868486,-55.213171467639214,-26.302213501853807,23.04593041405107,6.828830795518746,44.56891
133.24333663820866,-55.91817717567388,-16.518791749571022,14.26924143082751,7.977266406861549,24.315935
133.36251900891097,-56.51939097321884,-15.321561496743321,15.339285230957916,7.888573351193568,19.69245
138.147601442054,-56.91231523797382,-24.688794604260597,15.770578750997029,5.702435911667487,
132.48110975100164,-56.242566293498605,-14.897199490551552,29.225373767136816,5.8538893316335985,
137.1374223921947,-56.223381364267944,-16.6126065778046,14.461775201086649,7.877774291336539,71.704056
139.79037735996982,-57.846308034855724,-24.300913858458298,22.11804653223556,5.789077572932857,23.594831
134.08270777587805,-55.26596305494986,-21.916249940886445,13.690568499498145,5.895461421244715,
133.09169845892154,-55.39029365329699,-14.980973246589143,14.273525189571295,5.865079817330297,
133.3228084473289,-55.36780213369735,-17.398963952684298,28.552133006547727,8.227558842835482,
133.9833543976551,-57.710387672711185,-14.68919091841961,15.656645448950904,7.7125544415013225,-18.053366
137.15992659597757,-56.850896132646376,-24.76540159465556,19.27338226771476,5.836890923742839,2.2910786
136.04161891371155,-57.12594370621394,-15.532770366278749,14.086938279986466,7.432237447469848,20.907629
134.99681853930835,-56.22431970966124,-15.288487078704685,14.0791316737931,7.506622010444225,9.541428
135.13714072774073,-56.26266423960094,-16.15054548014044,14.337766753674352,7.870900268672491,
137.64097269366127,-57.10876231039145,-28.597332924680654,21.452538086929827,6.642939686205483,
135.9518167238229,-57.901937208110475,-15.319264819893714,13.85364906644079,7.031320900369481,
138.05615962023708,-57.816030046408294,-26.45009289293621,20.081316889086885,5.865608205417724,
135.59324299238324,-58.14227660631794,-16.394083084217137,15.73901015812066,8.00727694051181,
136.18403086951503,-58.7764280605707,-30.160607418862135,23.985294149488034,7.263449833117671,
137.29259424411754,-59.46137571474157,-15.729711705617355,14.919438261364272,7.264303116343614,
137.86286260257333,-59.25065059448481,-13.618516781123162,15.724804568993484,7.449076900549029,23.919817
137.97972797376184,-59.06973099216233,-15.957464059949974,14.367334229002756,7.3719748974141535,
134.92882526712987,-58.04046443427231,-14.824078663197717,14.602191542754692,7.423831346283797,17.746284
137.65113360584752,-59.16279787397487,-15.580970132756782,14.401928292484953,7.35343012570077,
136.9019904625277,-59.45716391225745,-29.957416084798563,16.389235381483115,8.060456896262076,18.856752
135.43967500936932,-58.684993940101315,-15.571627097403775,15.962819793745673,7.540463459432318,22.602695
136.68321451614855,-59.289050498945954,-16.45995959650601,15.674668315846937,7.752444197842032,
138.92353956061172,-59.11566826051713,-18.314001278086643,20.220275340720328,6.358601768628294,29.297205
138.75867826568336,-59.124125216102854,-30.424356901789444,22.26438774357334,6.977821544276578,-55.974586
136.8499995142569,-59.14971074107015,-15.533475378690941,14.984059874718923,7.281059963180313,15.432577
135.10290388241748,-58.2499220866122,-15.177547897431243,15.19991163995833,7.436846619559853,
136.91626540022577,-59.184670963226324,-15.511149417040036,15.268792145876667,7.352021612431256,16.347326
136.79727414029804,-59.393171838923806,-14.925952513809786,14.374520101844086,6.914948794255522,
